Época 194: d_loss = 0.3068, g_loss = 0.2314
Época 195: d_loss = 0.2732, g_loss = 0.2279
Época 196: d_loss = 0.2986, g_loss = 0.2118
Época 197: d_loss = 0.3070, g_loss = 0.2199
Época 198: d_loss = 0.3306, g_loss = 0.2264
Época 199: d_loss = 0.3087, g_loss = 0.2269
Época 200: d_loss = 0.3147, g_loss = 0.2285
Época 201: d_loss = 0.2917, g_loss = 0.2289
Época 202: d_loss = 0.2766, g_loss = 0.2407
Época 203: d_loss = 0.3255, g_loss = 0.2369
Época 204: d_loss = 0.2925, g_loss = 0.2355
Época 205: d_loss = 0.2851, g_loss = 0.2303
Época 206: d_loss = 0.3281, g_loss = 0.2150
Época 207: d_loss = 0.3064, g_loss = 0.2176
Época 208: d_loss = 0.2691, g_loss = 0.2272
Época 209: d_loss = 0.2915, g_loss = 0.2308
Época 210: d_loss = 0.2812, g_loss = 0.2219
Época 211: d_loss = 0.2999, g_loss = 0.2311
Época 212: d_loss = 0.2960, g_loss = 0.2241
Época 213: d_loss = 0.2949, g_loss = 0.2329
Época 214: d_loss = 0.3004, g_loss = 0.2269
Época 215: d_loss = 0.2983, g_loss = 0.2306
Época 216: d_loss = 0.3130, g_loss = 0.2236
Época 217: d_loss = 0.3029, g_loss = 0.2269
Época 218: d_loss = 0.3043, g_loss = 0.2242
Época 219: d_loss = 0.3157, g_loss = 0.2263
Época 220: d_loss = 0.3031, g_loss = 0.2352
Época 221: d_loss = 0.2883, g_loss = 0.2312
Época 222: d_loss = 0.2691, g_loss = 0.2465
Época 223: d_loss = 0.3005, g_loss = 0.2182
Época 224: d_loss = 0.3176, g_loss = 0.2220
Época 225: d_loss = 0.3049, g_loss = 0.2312
Época 226: d_loss = 0.3155, g_loss = 0.2266
Época 227: d_loss = 0.2934, g_loss = 0.2273
Época 228: d_loss = 0.3006, g_loss = 0.2276
Época 229: d_loss = 0.2828, g_loss = 0.2360
Época 230: d_loss = 0.3058, g_loss = 0.2331
